"","dcirnum","q1a","q1b","q1c","q1d","q1e","q1f","q1g","q2a","q2b","q2c","q2d","q3zp","q4popserv","q5state","q6ftemp","q7fcap","q8mfi5yrs","q9wdp","q10wmfp","q11nims","q12cpg","q13srwp","q14a","q14b","q14c","q14d","q14e","q14f","q14g","q14h","q14i","q14j","q14k","q14l","q15a","q15b","q15c","q15d","q15e","q15f","q15g","q16a","q16b","q16c","q16d","q17a","q17b","q17c","q17d","q17e","q17f","q17g","q17h","q17i","q17j","q17k","q17l","q17m","q17n","q18a","q18b","q19a","q19b","q20drills","q21sroster","q22wmfi","q23wcbrne","q24amfi","q25acbrne","q26preeventp","q27wprep","q28jprep","q29a","q29b","q29c","q29d","q29e","q29f","q29g","q29h","q29i","q29j","q29k","q30fema","q31ua","q32js"
"1",1,1,0,0,0,0,0,0,0,1,0,0,"36024",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,11,11,11,11,99,2,99,0,1,1,0,0,0,1,0,0,0,0,4,0,0
"2",2,1,0,0,0,0,0,0,0,0,0,99,"55902",4,26,5,2,0,0,0,99,99,99,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,11,11,11,11,11,4,4,0,1,1,1,1,1,1,0,0,0,0,5,1,1
"3",3,1,0,1,0,0,0,0,1,1,0,0,"86303",4,4,4,1,1,1,0,88,88,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,99,1,1,1,1,0,1,10,8,11,8,9,4,4,0,0,0,1,0,0,0,1,0,0,0,9,1,1
"4",4,1,0,0,0,0,0,0,0,1,0,0,"44212",2,39,4,1,0,0,0,88,88,88,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,5,3,7,7,1,2,3,1,1,1,1,1,1,1,0,0,0,0,5,0,1
"5",5,1,0,0,0,0,0,0,0,1,0,0,"84655",1,49,1,1,0,0,0,88,88,88,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2,2,1,0,0,0,11,1,11,1,10,2,3,0,1,1,1,1,1,0,0,0,0,0,8,0,0
"6",6,1,0,0,0,0,0,0,0,1,0,0,"75751",3,48,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,0,6,6,6,6,6,5,5,1,1,1,1,1,1,1,0,0,0,0,6,1,1
"7",7,1,0,0,0,0,0,0,0,1,0,0,"21157",1,23,2,1,0,1,0,88,88,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,4,8,4,1,1,99,1,1,0,0,0,1,0,0,0,0,0,3,0,0
"8",8,1,0,0,0,0,0,0,0,1,0,0,"64730",1,28,2,1,0,1,1,99,88,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,10,6,10,6,9,4,4,1,0,0,0,0,0,0,0,0,0,0,7,0,0
"9",9,1,0,0,0,0,0,0,0,1,0,0,"10549",3,35,2,99,0,1,0,99,99,99,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,2,2,2,2,2,88,88,1,1,1,1,1,1,1,0,0,0,0,2,1,1
"10",10,1,0,0,0,0,0,0,0,1,0,0,"66044",4,19,2,3,0,1,0,88,99,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,11,11,11,11,9,4,4,0,1,0,0,1,0,0,0,0,0,0,7,1,1
"11",11,1,1,0,0,0,0,0,1,0,0,0,"90045",5,6,5,1,0,1,99,99,99,99,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,99,1,99,1,0,0,0,5,4,8,6,2,3,99,0,0,1,0,0,1,0,1,0,0,0,9,1,1
"12",12,1,1,1,0,0,0,0,1,0,0,0,"44691",2,39,5,1,0,1,0,0,0,99,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,9,6,11,4,1,2,2,0,0,1,0,1,1,1,0,0,0,0,5,0,1
"13",13,1,0,1,0,0,0,0,1,0,0,0,"97233",5,41,2,2,0,88,0,88,88,88,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,11,8,11,8,99,2,3,0,1,1,1,1,1,0,0,0,0,0,10,1,1
"14",14,1,0,0,0,0,0,0,1,0,0,0,"68873",1,30,1,1,0,0,0,88,88,99,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,2,2,1,0,0,1,6,6,11,6,6,4,5,0,0,1,0,0,1,0,0,0,0,0,7,0,0
"15",15,1,1,1,0,0,0,0,1,0,0,0,"95350",4,6,5,2,0,0,0,99,99,99,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,99,1,0,1,0,0,0,7,3,6,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,9,1,1
"16",16,1,0,0,0,0,0,0,0,1,0,0,"17061",1,42,1,1,0,0,0,88,88,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,11,11,11,11,11,2,5,0,0,1,0,0,0,0,0,0,0,0,3,0,0
"17",17,1,1,1,1,0,0,0,1,0,0,0,"68025",4,30,5,2,0,0,0,88,88,88,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,10,8,10,10,1,3,3,0,0,1,0,0,0,1,0,0,0,0,7,1,1
